"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","CAN","Canada","Q","Quarterly","2023-Q1","Q1-2023","NATUSD","National currency per US dollar","0","Units",,,1.352049,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","Q","Quarterly","2023-Q2","Q2-2023","NATUSD","National currency per US dollar","0","Units",,,1.343064,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","Q","Quarterly","2023-Q3","Q3-2023","NATUSD","National currency per US dollar","0","Units",,,1.341085,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-01","Jan-2022","NATUSD","National currency per US dollar","0","Units",,,1.261848,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-02","Feb-2022","NATUSD","National currency per US dollar","0","Units",,,1.271675,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-03","Mar-2022","NATUSD","National currency per US dollar","0","Units",,,1.265787,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-04","Apr-2022","NATUSD","National currency per US dollar","0","Units",,,1.262671,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-05","May-2022","NATUSD","National currency per US dollar","0","Units",,,1.285123,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-06","Jun-2022","NATUSD","National currency per US dollar","0","Units",,,1.281364,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-07","Jul-2022","NATUSD","National currency per US dollar","0","Units",,,1.293962,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-08","Aug-2022","NATUSD","National currency per US dollar","0","Units",,,1.291744,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,1.332723,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,1.37001,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,1.344536,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,1.359291,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2023-01","Jan-2023","NATUSD","National currency per US dollar","0","Units",,,1.342723,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2023-02","Feb-2023","NATUSD","National currency per US dollar","0","Units",,,1.34521,,
"CCUS","Currency exchange rates, monthly average","CAN","Canada","M","Monthly","2023-03","Mar-2023","NATUSD","National currency per US dollar","0","Units",,,1.368213,,
